nu,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,u_9,u_10,u_11,u_12,u_13,u_14,u_15,u_16,u_17,u_18,u_19,u_20,u_21,u_22,u_23,u_24
1.213,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.439428198,0.6560222566,-0.0633971017,-0.2230657638,1.523188312,1.715121861,0.9294407538,0.236212194,0,1.300122548,1.44398852,0.6636608401,-0.05213727414,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.215,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.439453625,0.6560428723,-0.06338759733,-0.2230657638,1.523188312,1.715154637,0.9294692305,0.2362236659,0,1.300122548,1.444009578,0.6636726245,-0.05214347901,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.217,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.439478981,0.6560634272,-0.06337812311,-0.2230657638,1.523188312,1.715187316,0.9294976176,0.2362350975,0,1.300122548,1.444030571,0.6636843662,-0.05214967106,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.219,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.439504265,0.6560839214,-0.06336867889,-0.2230657638,1.523188312,1.715219899,0.9295259154,0.2362464889,0,1.300122548,1.444051497,0.6636960654,-0.05215585033,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.221,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.439529478,0.6561043552,-0.06335926454,-0.2230657638,1.523188312,1.715252385,0.9295541243,0.2362578404,0,1.300122548,1.444072359,0.6637077225,-0.05216201683,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.223,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.439554621,0.6561247289,-0.06334987991,-0.2230657638,1.523188312,1.715284777,0.9295822448,0.2362691521,0,1.300122548,1.444093156,0.6637193375,-0.05216817061,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.225,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.439579693,0.6561450427,-0.06334052487,-0.2230657638,1.523188312,1.715317073,0.9296102773,0.2362804242,0,1.300122548,1.444113888,0.6637309108,-0.05217431169,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.227,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.439604694,0.6561652969,-0.06333119927,-0.2230657638,1.523188312,1.715349275,0.9296382222,0.236291657,0,1.300122548,1.444134555,0.6637424425,-0.0521804401,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.229,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.439629626,0.6561854918,-0.06332190299,-0.2230657638,1.523188312,1.715381382,0.9296660798,0.2363028507,0,1.300122548,1.444155159,0.6637539328,-0.05218655588,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.231,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.439654488,0.6562056276,-0.06331263589,-0.2230657638,1.523188312,1.715413396,0.9296938507,0.2363140053,0,1.300122548,1.444175699,0.6637653821,-0.05219265906,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.233,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.439679281,0.6562257046,-0.06330339782,-0.2230657638,1.523188312,1.715445316,0.9297215352,0.2363251212,0,1.300122548,1.444196176,0.6637767904,-0.05219874967,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.235,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.439704005,0.6562457229,-0.06329418867,-0.2230657638,1.523188312,1.715477144,0.9297491336,0.2363361986,0,1.300122548,1.444216589,0.663788158,-0.05220482774,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.237,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.43972866,0.656265683,-0.06328500829,-0.2230657638,1.523188312,1.715508879,0.9297766465,0.2363472375,0,1.300122548,1.44423694,0.6637994851,-0.0522108933,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.239,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.439753246,0.656285585,-0.06327585655,-0.2230657638,1.523188312,1.715540521,0.9298040741,0.2363582383,0,1.300122548,1.444257228,0.6638107719,-0.05221694637,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.241,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.439777764,0.6563054292,-0.06326673332,-0.2230657638,1.523188312,1.715572072,0.9298314169,0.2363692011,0,1.300122548,1.444277454,0.6638220186,-0.052222987,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.243,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.439802215,0.6563252159,-0.06325763848,-0.2230657638,1.523188312,1.715603532,0.9298586752,0.2363801261,0,1.300122548,1.444297618,0.6638332254,-0.05222901522,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.245,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.439826597,0.6563449452,-0.06324857188,-0.2230657638,1.523188312,1.7156349,0.9298858495,0.2363910135,0,1.300122548,1.44431772,0.6638443926,-0.05223503105,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.247,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.439850913,0.6563646174,-0.0632395334,-0.2230657638,1.523188312,1.715666178,0.9299129401,0.2364018635,0,1.300122548,1.444337761,0.6638555203,-0.05224103452,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.249,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.439875161,0.6563842328,-0.06323052292,-0.2230657638,1.523188312,1.715697366,0.9299399475,0.2364126763,0,1.300122548,1.444357741,0.6638666087,-0.05224702567,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.251,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.439899342,0.6564037916,-0.06322154029,-0.2230657638,1.523188312,1.715728464,0.9299668719,0.236423452,0,1.300122548,1.444377659,0.663877658,-0.05225300453,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.253,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.439923457,0.6564232941,-0.06321258541,-0.2230657638,1.523188312,1.715759472,0.9299937138,0.2364341908,0,1.300122548,1.444397518,0.6638886685,-0.05225897112,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.255,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.439947506,0.6564427404,-0.06320365814,-0.2230657638,1.523188312,1.715790392,0.9300204735,0.236444893,0,1.300122548,1.444417315,0.6638996403,-0.05226492548,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.257,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.439971488,0.656462131,-0.06319475835,-0.2230657638,1.523188312,1.715821222,0.9300471515,0.2364555586,0,1.300122548,1.444437053,0.6639105736,-0.05227086764,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.259,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.439995405,0.6564814658,-0.06318588592,-0.2230657638,1.523188312,1.715851965,0.930073748,0.236466188,0,1.300122548,1.444456731,0.6639214686,-0.05227679763,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.261,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.440019256,0.6565007453,-0.06317704073,-0.2230657638,1.523188312,1.71588262,0.9301002635,0.2364767812,0,1.300122548,1.44447635,0.6639323256,-0.05228271547,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.263,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.440043043,0.6565199696,-0.06316822265,-0.2230657638,1.523188312,1.715913187,0.9301266983,0.2364873385,0,1.300122548,1.444495909,0.6639431446,-0.05228862121,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.265,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.440066764,0.6565391391,-0.06315943157,-0.2230657638,1.523188312,1.715943666,0.9301530527,0.2364978599,0,1.300122548,1.44451541,0.663953926,-0.05229451487,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
